City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Hà Nội,Long Biên,Ngọc Thụy,Hẻm 606 Ngọc Thụy,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",90.0,19.0,211111.11111111112
Hồ Chí Minh,Quận 3,Võ Thị Sáu,Nam Kỳ Khởi Nghĩa,"277 Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",105.0,190.0,1809523.8095238088
Hồ Chí Minh,Gò Vấp,Phường 16,Lê Đức Thọ,Số 8 Lê Đức Thọ,110.0,68.0,618181.8181818182
Hà Nội,Đống Đa,Láng Hạ,Nguyễn Chí Thanh,"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Đống Đa, Hà Nội",100.0,65.0,650000.0
Hồ Chí Minh,Quận 10,Phường 4,Ngô Gia Tự,"Đường Ngô Gia Tự, Phường 4, Quận 10, Hồ Chí Minh",145.0,150.0,1034482.7586206896
Hồ Chí Minh,Quận 3,Võ Thị Sáu,Võ Văn Tần,"Đường Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",705.0,580.0,822695.035460993
Hà Nội,Thanh Xuân,Nhân Chính,Hẻm 26 Quan Nhân,"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",70.0,30.0,428571.4285714286
Hà Nội,Ba Đình,Cống Vị,Linh Lang,"Phố Linh Lang, Phường Cống Vị, Ba Đình, Hà Nội",400.0,100.0,250000.0
Hà Nội,Hai Bà Trưng,Phạm Đình Hổ,Ngô Thì Nhậm,"Phường Ngô Thì Nhậm, Hai Bà Trưng, Hà Nội",300.0,220.0,733333.3333333334
Khánh Hòa,Nha Trang,Lộc Thọ,Hùng Vương,"hùng vương, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",256.0,70.0,273437.5
Hồ Chí Minh,Quận 1,Phạm Ngũ Lão,Phạm Ngũ Lão,"Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",60.0,75.0,1250000.0
Hồ Chí Minh,Quận 12,An Phú Đông,An Phú Đông 9,"Đường 1, Phường An Phú, Quận 2, Hồ Chí Minh",110.0,22.0,200000.0
Hồ Chí Minh,Quận 7,Phú Mỹ,Số 1,"Đường 1, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",95.0,25.0,263157.8947368421
Hồ Chí Minh,Quận 3,Võ Thị Sáu,Võ Văn Tần,"Đường Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",300.0,260.0,866666.6666666666
Hồ Chí Minh,Quận 7,Tân Thuận Đông,Cầu Phú Mỹ,"Phú Mỹ Huwngt, Quận 7",111.0,58.0,522522.52252252254
Hà Nội,Đống Đa,Láng Thượng,Chùa Láng,"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",70.0,30.0,428571.4285714286
Hà Nội,Cầu Giấy,Quan Hoa,Nguyễn Văn Huyên,"Đường Nguyễn Văn Huyên, Phường Quan Hoa, Cầu Giấy, Hà Nội",180.0,90.0,500000.0
Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 1,Hoàng Quốc Việt,Hoàng Quốc Việt,180.0,130.0,722222.2222222222
Hồ Chí Minh,Quận 7,Tân Phong,Nội Khu Hưng Gia 2,"Phú Mỹ Hưng, Quận 7",111.0,47.0,423423.4234234234
Hà Nội,Đống Đa,Ô Chợ Dừa,Trần Quang Diệu,"Phố Thái Hà, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",100.0,30.0,300000.0
Hồ Chí Minh,Quận 3,Võ Thị Sáu,Nam Kỳ Khởi Nghĩa,"Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",110.0,230.0,2090909.0909090908
Hà Nội,Cầu Giấy,Trung Hòa,Vũ Phạm Hàm,"Đường Vũ Phạm Hàm, Phường Trung Hòa, Cầu Giấy, Hà Nội",300.0,65.0,216666.66666666663
Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Thị Minh Khai,"Đường Nguyễn Thị Minh Khai, Phường 5, Quận 3, Hồ Chí Minh",220.0,120.0,545454.5454545454
Hà Nội,Hai Bà Trưng,Nguyễn Du,Tuệ Tĩnh,"Đường Tuệ Tĩnh, Phường Nguyễn Du, Hai Bà Trưng, Hà Nội",300.0,100.0,333333.3333333333
Hồ Chí Minh,Phú Nhuận,Phường 2,Phan Xích Long,"1A Đường Phan Xích Long, Phường 2, Phú Nhuận, Hồ Chí Minh",150.0,95.0,633333.3333333334
Lạng Sơn,Chi Lăng,Thị Trấn Đồng Mỏ,Trần Lựu,Trần Lựu,480.0,60.0,125000.0
Hà Nội,Đống Đa,Láng Thượng,Nguyễn Chí Thanh,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",100.0,65.0,650000.0
Hồ Chí Minh,Thủ Đức,Tam Phú,Hẻm 17 Bình Phú,"Đường Bình Phú, Phường Tam Phú, Thủ Đức, Hồ Chí Minh",170.5,17.0,99706.7448680352
Hà Nội,Hai Bà Trưng,Nguyễn Du,Trần Nhân Tông,"Đường Trần Nhân Tông, Phường Nguyễn Du, Hai Bà Trưng, Hà Nội",200.0,80.0,400000.0
Hà Nội,Hai Bà Trưng,Lê Đại Hành,Mai Hắc Đế,"Phố Mai Hắc Đế, Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội",135.0,120.0,888888.8888888889
Hồ Chí Minh,Quận 11,Phường 16,Nguyễn Chí Thanh,"33A, Đường Nguyễn Chí Thanh, Phường 16, Quận 11, Hồ Chí Minh",65.0,20.0,307692.3076923077
Hà Nội,Nam Từ Liêm,Cầu Diễn,Nguyễn Cơ Thạch,"Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",140.0,85.0,607142.8571428572
Hà Nội,Hà Đông,Mộ Lao,Mộ Lao,"Đường Mỗ Lao, Phường Mỗ Lao, Hà Đông, Hà Nội",150.0,25.0,166666.66666666666
Hà Nội,Ba Đình,Cống Vị,Phan Kế Bính,"Đường Phan Kế Bính, Phường Cống Vị, Ba Đình, Hà Nội",360.0,120.0,333333.3333333333
Hà Nội,Đống Đa,Láng Thượng,Chùa Láng,"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",130.0,30.0,230769.2307692308
Hà Nội,Cầu Giấy,Mai Dịch,Mai Dịch,"Phố Mai Dịch, Phường Mai Dịch, Cầu Giấy, Hà Nội",160.0,37.0,231250.0
Hồ Chí Minh,Tân Bình,Phường 1,Lê Văn Sỹ,"Đường Lê Văn Sỹ, Phường 1, Tân Bình, Hồ Chí Minh",400.0,350.0,875000.0
Hà Nội,Cầu Giấy,Trung Hòa,Mạc Thái Tông,"Đường Mạc Thái Tông, Phường Trung Hòa, Cầu Giấy, Hà Nội",400.0,99.0,247500.0
Hà Nội,Đống Đa,Phương Liên,Xã Đàn,"Phố Xã Đàn, Phường Trung Liệt, Đống Đa, Hà Nội",185.0,210.0,1135135.1351351351
Hà Nội,Hoàng Mai,Định Công,Trịnh Đình Cửu,"Đường Trịnh Đình Cửu, Phường Định Công, Hoàng Mai, Hà Nội",240.0,20.0,83333.33333333333
Hồ Chí Minh,Thủ Đức,An Phú,Vũ Tông Phan,"Phố Vũ Tông Phan, Phường An Phú, Quận 2, Hồ Chí Minh",1000.0,284.0,284000.0
Đà Nẵng,Hải Châu,Hòa Cường Bắc,Phan Đăng Lưu,"Phố Phan Đăng Lưu, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",75.0,30.0,400000.0
Hà Nội,Hoài Đức,Kim Chung,Lai Xá,"Đường Lai Xá, Xã Kim Chung, Hoài Đức, Hà Nội.",90.0,70.0,777777.7777777778
Hồ Chí Minh,Phú Nhuận,Phường 8,Hẻm 221B Trần Huy Liệu,"221A, Đường Trần Huy Liệu, Phường 8, Phú Nhuận, Hồ Chí Minh",105.0,80.0,761904.7619047619
Bà Rịa Vũng Tàu,Vũng Tàu,Thắng Tam,Phan Văn Trị,"Phan Văn Trị, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",475.0,120.0,252631.57894736843
Hồ Chí Minh,Quận 1,Bến Thành,Cách Mạng Tháng 8,"Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",160.0,50.0,312500.0
Hải Phòng,Ngô Quyền,Đằng Giang,Lạch Tray,"Phố Lạch Tray, Phường Đằng Giang, Ngô Quyền, Hải Phòng",175.0,35.0,200000.0
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Duy Tân,"Đường Duy Tân, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",1000.0,90.0,90000.0
Hồ Chí Minh,Quận 7,Tân Thuận Đông,Hẻm 9 Trần Trọng Cung,"210 ĐS 8, KDC Nam Long, Trần Trọng Cung, Quận 7",52.0,14.0,269230.76923076925
Hồ Chí Minh,Quận 3,Võ Thị Sáu,Võ Văn Tần,"Đường Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",3000.0,700.0,233333.3333333333
Hồ Chí Minh,Bình Thạnh,Phường 19,Nguyễn Hữu Cảnh,"Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",100.0,20.0,200000.0
Hồ Chí Minh,Tân Bình,Phường 2,Hướng Đi Ga Quốc Tế,Gần sân bay Tân Sơn Nhất,500.0,75.0,150000.0
Quảng Trị,Đông Hà,Phường 1,Trần Hưng Đạo,"Đường Trần Phú, Phường Quang Trung, Hà Đông, Hà Nội",6000.0,550.0,91666.66666666669
Hồ Chí Minh,Quận 11,Phường 5,Ông Ích Khiêm,"Đường Ông Ích Khiêm, Phường 10, Quận 11, Hồ Chí Minh",42.0,28.0,666666.6666666666
Cần Thơ,Ninh Kiều,An Hòa,Mậu Thân,"Đường Mậu Thân, Phường An Khánh, Ninh Kiều, Cần Thơ",92.4,20.0,216450.2164502164
Hải Phòng,Ngô Quyền,Lê Lợi,Lê Lợi,"Đường Lê Lợi, Phường Lê Lợi, Ngô Quyền, Hải Phòng",140.0,25.0,178571.42857142858
Hồ Chí Minh,Quận 1,Bến Thành,Đặng Trần Côn,"12 Phố Đặng Trần Côn, Phường Bến Nghé, Quận 1, Hồ Chí Minh",60.0,60.0,1000000.0
Hồ Chí Minh,Bình Thạnh,Phường 27,Thanh Đa,"Đường Thanh Đa, Phường 27, Bình Thạnh, Hồ Chí Minh",100.0,16.0,160000.0
Hà Nội,Tây Hồ,Yên Phụ,Nghi Tàm,"Số 5, Đường Nghi Tàm, Phường Yên Phụ, Tây Hồ, Hà Nội",60.0,20.0,333333.3333333333
Hà Nội,Hai Bà Trưng,Minh Khai,Minh Khai,"197, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",90.0,25.0,277777.7777777777
Hồ Chí Minh,Quận 6,Phường 13,An Dương Vương,"Đường An Dương Vương, Phường 13, Quận 6, Hồ Chí Minh",120.0,20.0,166666.66666666666
Hà Nội,Hoàn Kiếm,Chương Dương Độ,Bạch Đằng,"Số 80, Đường Bạch Đằng, Phường Chương Dương, Hoàn Kiếm, Hà Nội",51.0,15.000000000000002,294117.64705882355
Đà Nẵng,Hải Châu,Hòa Cường Bắc,Phan Đăng Lưu,"Phố Phan Đăng Lưu, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",187.0,25.0,133689.83957219252
Hà Nội,Đống Đa,Kim Liên,Xã Đàn,"Phố Xã Đàn, Phường Kim Liên, Đống Đa, Hà Nội",35.0,16.0,457142.8571428572
Hà Nội,Gia Lâm,Đặng Xá,Đ.X 5,"Đường 5, Xã Đặng Xá, Gia Lâm, Hà Nội",120.0,12.0,100000.0
Hồ Chí Minh,Quận 12,Trung Mỹ Tây,Nguyễn Ảnh Thủ,"Đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",161.0,70.0,434782.60869565216
Hồ Chí Minh,Quận 7,Phú Thuận,Gò Ô Môi,"Đường Gò Ô Môi, Phường Phú Thuận, Quận 7, Hồ Chí Minh",110.0,12.0,109090.90909090907
Hồ Chí Minh,Thủ Đức,Tăng Nhơn Phú A,Lã Xuân Oai,"Đường Lã Xuân Oai, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",70.0,9.0,128571.42857142857
Hồ Chí Minh,Quận 10,Phường 4,Ngô Gia Tự,"Đường Ngô Gia Tự, Phường 4, Quận 10, Hồ Chí Minh",143.0,150.0,1048951.0489510489
Hồ Chí Minh,Quận 10,Phường 4,Ngô Gia Tự,"406 Đường Ngô Gia Tự, Phường 4, Quận 10, Hồ Chí Minh",143.0,150.0,1048951.0489510489
Bắc Ninh,Từ Sơn,Phù Chẩn,Đi Từ Sơn,"Dự án Centa City, Đường Hữu Nghị, Xã Phù Chẩn, Từ Sơn, Bắc Ninh",120.0,15.0,125000.0
Khánh Hòa,Nha Trang,Lộc Thọ,Trần Văn Ơn,"Đường Trần Văn Ơn, Phường Lộc Thọ, Nha Trang, Khánh Hòa",111.0,80.0,720720.7207207207
Hồ Chí Minh,Quận 11,Phường 15,Hẻm 2 Số 2,Đường 2,55.0,22.0,400000.0
Hồ Chí Minh,Thủ Đức,Thạnh Mỹ Lợi,Trương Văn Bang,"Đường Trương Văn Bang, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",480.0,70.0,145833.33333333334
Hà Nội,Long Biên,Giang Biên,Kẻ Tạnh,"Phố Kẻ Tạnh, Phường Giang Biên, Long Biên, Hà Nội",180.0,45.0,250000.0
Hồ Chí Minh,Quận 10,Phường 2,Lê Hồng Phong,"Đường Lê Hồng Phong, Phường 10, Quận 10, Hồ Chí Minh",90.0,35.0,388888.8888888889
Bình Dương,Dĩ An,An Bình,Lê Trọng Tấn,lê trọng tấn,190.0,50000.0,263157894.7368421
Hà Nội,Thanh Xuân,Khương Đình,Vũ Tông Phan,"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",1000.0,90.0,90000.0
Hồ Chí Minh,Quận 3,Võ Thị Sáu,Trương Định,"81, Đường Trương Định, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",40.0,12.0,300000.0
Hải Phòng,Lê Chân,Trại Cau,Tô Hiệu,"Đường Tô Hiệu, Phường Trại Cau, Lê Chân, Hải Phòng",110.0,59.99999999999999,545454.5454545454
Hà Nội,Ba Đình,Quán Thánh,Phan Đình Phùng,"Đường Phan Kế Bính, Phường Liễu Giai, Ba Đình, Hà Nội.",30.0,24.5,816666.6666666666
Hồ Chí Minh,Quận 1,Đa Kao,Phan Kế Bính,Phan kế bính,30.0,24.5,816666.6666666666
Hồ Chí Minh,Quận 1,Nguyễn Cư Trinh,Nguyễn Trãi,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",220.0,120.0,545454.5454545454
Hồ Chí Minh,Thủ Đức,Thảo Điền,Số 5,"Đường Số 9, Phường Thảo Điền, Quận 2, Hồ Chí Minh",500.0,90.0,180000.0
Đà Nẵng,Hải Châu,Hòa Cường Bắc,Nguyễn Hữu Dật,"BĐS An Phát Plus, Nguyễn Hữu Dật, ĐN",165.0,38.0,230303.0303030303
Hồ Chí Minh,Quận 7,Bình Thuận,Huỳnh Tấn Phát,"Số 507, Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",280.0,80.0,285714.28571428574
Đà Nẵng,Hải Châu,Hòa Cường Bắc,Nguyễn Hữu Dật,"BĐS An Phát Plus, Nguyễn Hữu Dật, ĐN",165.0,25.0,151515.15151515152
Hồ Chí Minh,Quận 7,Tân Quy,Nguyễn Thị Thập,"Đường Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Hồ Chí Minh",800.0,110.0,137500.0
Hà Nội,Cầu Giấy,Dịch Vọng,Trần Đăng Ninh,"Đường Trần Đăng Ninh, Phường Dịch Vọng, Cầu Giấy, Hà Nội",50.0,16.9,338000.0
Hồ Chí Minh,Quận 10,Phường 12,Cách Mạng Tháng Tám,"Đường Cách Mạng Tháng Tám, Phường 12, Quận 10, Hồ Chí Minh",200.0,110.0,550000.0
Đà Nẵng,Hải Châu,Hòa Cường Bắc,Nguyễn Hữu Dật,"BĐS An Phát Plus, Nguyễn Hữu Dật, ĐN",270.0,80.0,296296.2962962963
Hà Nội,Ba Đình,Đội Cấn,Đội Cấn,"279, Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",50.0,40.0,800000.0
Hồ Chí Minh,Tân Phú,Sơn Kỳ,Đoàn Giỏi,"Đường Đoàn Giỏi, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",40.0,9.5,237500.0
Hồ Chí Minh,Bình Thạnh,Phường 14,Lê Quang Định,"Đường Lê Quang Định, Phường 5, Bình Thạnh, Hồ Chí Minh",348.0,243.3,699137.9310344828
Đồng Nai,Biên Hòa,Quyết Thắng,Võ Thị Sáu,"Đường Võ Thị Sáu, Phường Quyết Thắng, Biên Hòa, Đồng Nai",73.0,30.0,410958.90410958906
Nghệ An,Vinh,Hưng Phúc,Dương Vân Nga,Dương Vân Nga,100.0,15.0,150000.0
Đà Nẵng,Ngũ Hành Sơn,Mỹ An,Phan Tứ,Phan Tứ,125.0,18.0,144000.0
Bình Dương,Thủ Dầu Một,Hòa Phú,Dân Chủ,"Dự án Sun Casa, Đường Dân Chủ, Phường Hòa Phú, Thủ Dầu Một, Bình Dương",80.0,11.0,137500.0
Hải Phòng,Ngô Quyền,Cầu Đất,Lương Khánh Thiện,"Đường Lương Khánh Thiện, Phường Lương Khánh Thiện, Ngô Quyền, Hải Phòng",450.0,100.0,222222.22222222225
Hồ Chí Minh,Tân Bình,Phường 4,Cộng Hòa,"Đường Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh",216.0,300.0,1388888.888888889
Hồ Chí Minh,Quận 1,Tân Định,Hai Bà Trưng,"258, Phố Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh",80.0,80.0,1000000.0
Cần Thơ,Ninh Kiều,Cái Khế,Lý Hồng Thanh,"Lý Hồng Thanh, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ",64.0,18.0,281250.0
Hồ Chí Minh,Quận 3,Phường 10,Cách Mạng Tháng Tám,"Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Hồ Chí Minh",900.0,250.0,277777.7777777777
Hồ Chí Minh,Quận 10,Phường 12,3/2,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",160.0,200.0,1250000.0
Hồ Chí Minh,Quận 1,Bến Nghé,Đồng Khởi,"Đường Đồng Khởi, Phường Bến Nghé, Quận 1, Hồ Chí Minh",81.0,160.0,1975308.6419753083
Hà Nội,Tây Hồ,Xuân La,Lạc Long Quân,"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",150.0,230.0,1533333.3333333333
Đà Nẵng,Hải Châu,Thanh Bình,Cao Thắng,"Đường Cao Thắng, Phường Thanh Bình, Hải Châu, Đà Nẵng",90.0,20.0,222222.22222222225
Đồng Nai,Biên Hòa,Thống Nhất,D9,"Đường D9, Phường Thống Nhất, Biên Hòa, Đồng Nai",500.0,22.0,44000.0
Hà Nội,Ba Đình,Cống Vị,Liễu Giai,"Phường Liễu Giai, Ba Đình, Hà Nội",70.0,60.0,857142.8571428572
Hồ Chí Minh,Quận 7,Phú Thuận,Huỳnh Tấn Phát,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",596.0,55.0,92281.87919463088
Hồ Chí Minh,Quận 10,Phường 2,Sư Vạn Hạnh,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",100.0,65.0,650000.0
Hà Nội,Cầu Giấy,Nghĩa Đô,Phùng Chí Kiên,"Phố Phùng Chí Kiên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",250.0,48.0,192000.0
Hồ Chí Minh,Quận 1,Đa Kao,Phan Kế Bính,Phan kế bính,70.0,60.0,857142.8571428572
Hồ Chí Minh,Quận 1,Bến Thành,Lê Lai,"Đường Lê Lai, Phường Bến Thành, Quận 1, Hồ Chí Minh",500.0,240.0,480000.0
Hà Nội,Hoàn Kiếm,Cửa Nam,Hai Bà Trưng,"Phố Hai Bà Trưng, Phường Cửa Nam, Hoàn Kiếm, Hà Nội",780.0,120.0,153846.15384615384
Hà Nội,Cầu Giấy,Quan Hoa,Hẻm 155 Cầu Giấy,"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",450.0,150.0,333333.3333333333
Hà Nội,Bắc Từ Liêm,Xuân Tảo,Xuân Đỉnh,"Đường Xuân Đỉnh, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",1000.0,295.0,295000.0
Đà Nẵng,Ngũ Hành Sơn,Hòa Hải,Lê Văn Hiến,"Đường Lê Văn Hiến, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",165.0,11.999999999999998,72727.27272727272
Đà Nẵng,Hải Châu,Nam Dương,Nguyễn Văn Linh,"Đường Nguyễn Văn Linh, Phường Nam Dương, Hải Châu, Đà Nẵng",170.0,150.0,882352.9411764706
Đà Nẵng,Ngũ Hành Sơn,Mỹ An,Nguyễn Văn Thoại,"Đường Nguyễn Văn Thoại, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",180.0,100.0,555555.5555555555
Đà Nẵng,Ngũ Hành Sơn,Mỹ An,Nguyễn Văn Thoại,"Đường Nguyễn Văn Thoại, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",84.0,30.0,357142.8571428572
Hồ Chí Minh,Quận 10,Phường 12,3/2,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",150.0,200.0,1333333.3333333333
Đà Nẵng,Thanh Khê,Thạc Gián,Nguyễn Văn Linh,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Thanh Khê, Đà Nẵng",100.0,70.0,700000.0
Hà Nội,Hà Đông,Văn Quán,Trần Phú,"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",6000.0,850.0,141666.66666666666
Hồ Chí Minh,Quận 12,Hiệp Thành,Lê Văn Khương,"Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",120.0,37.0,308333.3333333333
Hà Nội,Ba Đình,Cống Vị,Phan Kế Bính,"Đường Phan Kế Bính, Phường Cống Vị, Ba Đình, Hà Nội",80.0,70.0,875000.0
Hồ Chí Minh,Phú Nhuận,Phường 15,Nguyễn Đình Chính,"Đường Nguyễn Đình Chính, Phường 15, Phú Nhuận, Hồ Chí Minh",82.5,25.0,303030.30303030304
Hồ Chí Minh,Bình Thạnh,Phường 11,Nguyễn Văn Đậu,"Đường Nguyễn Văn Đậu, Phường 5, Bình Thạnh, Hồ Chí Minh",120.0,60.0,500000.0
Bà Rịa Vũng Tàu,Vũng Tàu,Phường 1,Trương Vĩnh Ký,"Đường Trương Vĩnh Ký, Phường 1, Vũng Tàu, Bà Rịa Vũng Tàu",1300.0,45.0,34615.38461538462
Hồ Chí Minh,Quận 10,Phường 14,Lý Thường Kiệt,"Phố Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",77.0,95.0,1233766.2337662338
Đà Nẵng,Liên Chiểu,Hòa Minh,Tôn Đức Thắng,"Phố Tôn Đức Thắng, Phường Hòa Minh, Liên Chiểu, Đà Nẵng",180.0,20.0,111111.11111111112
Hà Nội,Long Biên,Thượng Thanh,Lý Sơn,"lý sơn , ;thượng thanh , long biên",75.0,30.0,400000.0
Hà Nội,Ba Đình,Điện Biên,Điện Biên Phủ,"Đường Điện Biên Phủ, Phường Điện Biên, Ba Đình, Hà Nội",140.0,70.0,500000.0
Hà Nội,Thanh Xuân,Thanh Xuân Trung,Vũ Trọng Phụng,"Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",35.0,35.0,1000000.0
Hà Nội,Đống Đa,Láng Thượng,Nguyễn Chí Thanh,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",150.0,130.0,866666.6666666666
Hà Nội,Ba Đình,Kim Mã,Giang Văn Minh,"Đường Giang Văn Minh, Phường Kim Mã, Ba Đình, Hà Nội",200.0,75.0,375000.0
Hà Nội,Hai Bà Trưng,Bách Khoa,Trần Đại Nghĩa,"Phố Trần Đại Nghĩa, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",105.0,70.0,666666.6666666666
Hồ Chí Minh,Nhà Bè,Phú Xuân,Huỳnh Tấn Phát,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",175.0,54.99999999999999,314285.71428571426
Hà Nội,Đống Đa,Trung Liệt,Thái Thịnh,"Phố Thái Thịnh, Phường Trung Liệt, Đống Đa, Hà Nội",60.0,35.0,583333.3333333334
Hà Nội,Cầu Giấy,Nghĩa Đô,Hoàng Quốc Việt,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",45.0,16.9,375555.5555555556
Hà Nội,Tây Hồ,Thụy Khuê,Nguyễn Đình Thi,"Đường Nguyễn Đình Thi, Phường Thụy Khuê, Tây Hồ, Hà Nội",80.0,20.0,250000.0
Hà Nội,Hoàn Kiếm,Trần Hưng Đạo,Trần Quốc Toản,"Đường Trần Quốc Toản, Phường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",60.0,60.0,1000000.0
Đà Nẵng,Hải Châu,Hòa Cường Bắc,Tiểu La,"Đường Tiểu La, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",140.0,35.0,250000.0
Hà Nội,Cầu Giấy,Dịch Vọng,Trương Công Giai,"Đường Trương Công Giai, Phường Dịch Vọng, Cầu Giấy, Hà Nội",75.0,30.0,400000.0
Hà Nội,Thanh Xuân,Khương Đình,Vũ Tông Phan,"Số 615, Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",100.0,40.0,400000.0
Hà Nội,Đống Đa,Láng Hạ,Thái Hà,"Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",120.0,35.0,291666.6666666667
Hà Nội,Hai Bà Trưng,Vĩnh Tuy,Lạc Trung,lạc trung,720.0,90.0,125000.0
Hồ Chí Minh,Quận 7,Tân Phong,Nội Khu Hưng Gia 2,"Phú Mỹ Hưng, Quận 7",105.0,15.000000000000002,142857.14285714287
Hồ Chí Minh,Quận 1,Bến Nghé,Pasteur,"108, Đường Pasteur, Phường Bến Nghé, Quận 1, Hồ Chí Minh",80.0,119.0,1487500.0
Hà Nội,Cầu Giấy,Trung Hòa,Mạc Thái Tông,"Đường Mạc Thái Tông, Phường Trung Hòa, Cầu Giấy, Hà Nội",480.0,100.0,208333.3333333333
Hồ Chí Minh,Quận 1,Bến Thành,Lê Thánh Tôn,"138, Đường Lê Thánh Tôn, Phường Bến Thành, Quận 1, Hồ Chí Minh",240.0,149.0,620833.3333333334
Hồ Chí Minh,Quận 1,Tân Định,Trần Quang Khải,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",48.0,35.0,729166.6666666666
Hồ Chí Minh,Quận 3,Phường 1,Lý Thái Tổ,"Đường Thái Ly, Phường Thảo Điền, Quận 2, Hồ Chí Minh",124.0,30.0,241935.48387096773
Hà Nội,Hai Bà Trưng,Nguyễn Du,Huế,"Phố Phố Huế, Phường Ngô Thì Nhậm, Hai Bà Trưng, Hà Nội",300.0,220.0,733333.3333333334
